onset,duration,genre,track,start,end,task,run,global_onset_tr
390,15,hiphop,42,9.9,24.9,Test,05,6820
405,15,rock,69,6.37,21.37,Test,05,6830
420,15,blues,47,14.05,29.05,Test,05,6840
435,15,jazz,59,0.26,15.26,Test,05,6850
450,15,reggae,47,6.57,21.57,Test,05,6860
465,15,pop,79,13.47,28.47,Test,05,6870
480,15,country,59,7.04,22.04,Test,05,6880
495,15,classical,25,3.72,18.72,Test,05,6890
510,15,metal,26,8.41,23.41,Test,05,6900
525,15,disco,72,5.53,20.53,Test,05,6910
540,15,hiphop,42,9.9,24.9,Test,05,6920
555,15,rock,69,6.37,21.37,Test,05,6930
570,15,blues,47,14.05,29.05,Test,05,6940
585,15,jazz,59,0.26,15.26,Test,05,6950
600,15,reggae,47,6.57,21.57,Test,05,6960
0,15,reggae,13,3.6,18.6,Test,06,6970
15,15,blues,16,8.35,23.35,Test,06,6980
30,15,pop,24,14.44,29.44,Test,06,6990
45,15,classical,7,8.91,23.91,Test,06,7000
60,15,disco,4,6.47,21.47,Test,06,7010
75,15,metal,22,0.36,15.36,Test,06,7020
90,15,jazz,69,1.97,16.97,Test,06,7030
105,15,hiphop,7,0.06,15.06,Test,06,7040
120,15,country,48,14.72,29.72,Test,06,7050
135,15,rock,75,8.92,23.92,Test,06,7060
150,15,reggae,13,3.6,18.6,Test,06,7070
165,15,blues,16,8.35,23.35,Test,06,7080
180,15,pop,24,14.44,29.44,Test,06,7090
195,15,classical,7,8.91,23.91,Test,06,7100
210,15,disco,4,6.47,21.47,Test,06,7110
225,15,metal,22,0.36,15.36,Test,06,7120
240,15,jazz,69,1.97,16.97,Test,06,7130
255,15,hiphop,7,0.06,15.06,Test,06,7140
270,15,country,48,14.72,29.72,Test,06,7150
285,15,rock,75,8.92,23.92,Test,06,7160
300,15,reggae,13,3.6,18.6,Test,06,7170
315,15,blues,16,8.35,23.35,Test,06,7180
330,15,pop,24,14.44,29.44,Test,06,7190
345,15,classical,7,8.91,23.91,Test,06,7200
360,15,disco,4,6.47,21.47,Test,06,7210
375,15,metal,22,0.36,15.36,Test,06,7220
390,15,jazz,69,1.97,16.97,Test,06,7230
405,15,hiphop,7,0.06,15.06,Test,06,7240
420,15,country,48,14.72,29.72,Test,06,7250
435,15,rock,75,8.92,23.92,Test,06,7260
450,15,reggae,13,3.6,18.6,Test,06,7270
465,15,blues,16,8.35,23.35,Test,06,7280
480,15,pop,24,14.44,29.44,Test,06,7290
495,15,classical,7,8.91,23.91,Test,06,7300
510,15,disco,4,6.47,21.47,Test,06,7310
525,15,metal,22,0.36,15.36,Test,06,7320
540,15,jazz,69,1.97,16.97,Test,06,7330
555,15,hiphop,7,0.06,15.06,Test,06,7340
570,15,country,48,14.72,29.72,Test,06,7350
585,15,rock,75,8.92,23.92,Test,06,7360
600,15,reggae,13,3.6,18.6,Test,06,7370
